gene,alt_name,gene_group,source,notes,y_offset
UBA1,,E1: Ub Activating,https://www.genenames.org/data/genegroup/#!/group/100,,4
UBA2,,E1: Ub Activating,https://www.genenames.org/data/genegroup/#!/group/100,,4
UBA3,,E1: Ub Activating,https://www.genenames.org/data/genegroup/#!/group/100,,4
UBA5,,E1: Ub Activating,https://www.genenames.org/data/genegroup/#!/group/100,,4
MOCS3,UBA4,E1: Ub Activating,https://www.genenames.org/data/genegroup/#!/group/100,,4
UBA6,,E1: Ub Activating,https://www.genenames.org/data/genegroup/#!/group/100,,4
UBA7,,E1: Ub Activating,https://www.genenames.org/data/genegroup/#!/group/100,,4
ATG7,,E1: Ub Activating,https://www.genenames.org/data/genegroup/#!/group/100,,4
NAE1,,E1: Ub Activating,https://www.genenames.org/data/genegroup/#!/group/100,,4
SAE,,E1: Ub Activating,https://www.genenames.org/data/genegroup/#!/group/100,,4
AKTIP,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
BIRC6,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2A,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2B,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2C,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2D1,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2D2,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2D3,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2D4,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2E1,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2E2,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2E3,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2E4P,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2F,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2G1,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2G2,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2H,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2I,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2J1,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2J2,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2K,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2L1,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2L2,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2L3,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2L4,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2L5,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2L6,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2M,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2N,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2NL,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2Q1,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2Q2,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
CDC34,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2R2,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2S,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2T,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2U,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2V1,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2V2,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2W,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
UBE2Z,,E2: Ub Conjugating,https://www.genenames.org/data/genegroup/#!/group/102,,3
AFF4,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
AMFR,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
ANAPC11,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
ANKIB1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
AREL1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
ARIH1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
